"","Katlengo_Contigs","Sample_1","Sample_2","Sample_3","Sample_4","Sample_5","Sample_6","Sample_7"
"256","3D13_contig_5",0.00136267623457031,0.00154814162692153,0.00180868204928796,0.00169783787571494,0.00358397402339898,0.00115742153352896,0.000926603542103071
"257","3D13_contig_50",0,0,0,1.94316789648791e-06,5.25176570927853e-06,0,0
"258","3D13_contig_51",0,0,0,0,1.75058856975951e-06,0,0
"259","3D13_contig_52",0,4.61468067821256e-05,2.02049611463648e-05,1.16590073789275e-05,1.75058856975951e-06,0,0
"260","3D13_contig_53",0,0,4.04099222927297e-06,5.82950368946374e-06,1.05035314185571e-05,0,0
"261","3D13_contig_54",2.58844650526201e-06,8.14355413802217e-06,0,0,0,3.59497120329204e-06,0
"262","3D13_contig_55",0,0,0,0,0,0,0
"263","3D13_contig_56",0,0,0,0,0,0,0
"264","3D13_contig_6",0.00187251248705308,0.00178387534497339,0.00192273830627257,0.00165879052916834,0.00357032433641,0.00190624378171337,0.001283568569149
"265","3D13_contig_7",0.00165678174821095,0.00156334487659792,0.00159997811020211,0.00157135272182449,0.00342242206435173,0.00186887922309691,0.00134273611378462
"266","3D13_contig_8",0.00121536048772946,0.000934124395642261,0.000643883143453457,0.000732691754084075,0.00222008886891141,0.0011490538960753,0.000773889255866182
"267","3D13_contig_9",0.000748000073793344,0.000773637643112106,0.000706101314966054,0.000791770372420293,0.0021121368888509,0.000480821168949764,0.00044589923478401
"268","6D46_contig_1",0.00204806444385455,0.00169548608870139,0.00207336569394846,0.00151176743817431,0.00418573807766642,0.000786855465555735,0.000714509844821946
"269","6D46_contig_10",0.00070241693866154,0.000574118921184398,0.000718020624554191,0.000821080164260802,0.00188477442839209,0.00043289063705796,0.000435822415918834
"270","6D46_contig_11",0.000550580311712065,0.000325742165520887,0.000405798797606143,0.000453446775476674,0.00118751439725379,0.000340262841777958,0.000256958881061972
"271","6D46_contig_12",0.000447801245410328,0.000372718794698086,0.000358229443002856,0.00027723001597992,0.00115389282106627,0.000181376950329816,0.000136037054679867
"272","6D46_contig_13",0.000639339388420222,0.00104220528671185,0.000926492065095344,0.00106730562106167,0.00202190237913233,0.000734661220632326,0.00059466155272971
"273","6D46_contig_14",0.00121101676774444,0.00157966464397503,0.00155672622857343,0.00188134543849594,0.00263105479749757,0.00140072372373512,0.00101133691181485
"274","6D46_contig_15",0.000518214538445637,0.000551893089726472,0.000522747514415851,0.000402235754572998,0.00124295477936042,0.000389963708979827,0.000297266156522673
"275","6D46_contig_16",0.000658314207636531,0.00039638162062699,0.000424796848102261,0.000344683295467522,0.00128414678041692,0.000221859559231279,0.000227097464709667
"276","6D46_contig_17",0.000267198962948248,0.000273261390641611,0.000229384535787681,0.000262075328545225,0.00083401374499988,0.000223673022109545,0.000134120414191265
"277","6D46_contig_18",0.000678900048751577,0.000401077102183998,0.000528362247819659,0.000611496305799799,0.00110815575563351,0.00057533772293035,0.00040562035209809
"278","6D46_contig_19",0.00132914985821595,0.00104361349303384,0.00129490420792008,0.00144881712780001,0.00181045039970453,0.0013957108877877,0.000949740178042778
"279","6D46_contig_2",0.00251229760638694,0.00196438840051241,0.00211376584145078,0.00231347402721844,0.00503997995340926,0.00186724945711443,0.0014456386027041
"280","6D46_contig_20",0.000214841059936747,0.00023887758804865,0.000249085588838342,0.000174319315745367,0.000690311642628569,0.00016277226243813,0.00013099864524728
"281","6D46_contig_21",0.000261433097031463,0.000168300118852458,0.000156509917763605,0.00019912941538426,0.000762047642905739,0.000200489442021647,0.000166782063826612
"282","6D46_contig_22",0.000188956594884127,0.000146583974484399,8.89018290440053e-05,7.22898474121184e-05,0.000361509497282146,8.2684337675717e-05,6.54993226236399e-05
